    f(GHz)   L_half(nH)    R_dc(Ω)
------------------------------------
    0.1000       3.5092   3.398190
    0.1259       3.5091   3.399150
    0.1585       3.5091   3.400660
    0.1995       3.5089   3.403050
    0.2512       3.5088   3.406840
    0.3162       3.5085   3.412800
    0.3981       3.5080   3.422140
    0.5012       3.5073   3.436760
    0.6310       3.5063   3.459430
    0.7943       3.5047   3.494150
    1.0000       3.5022   3.546390
    1.2589       3.4987   3.622930
    1.5849       3.4938   3.731080
    1.9953       3.4874   3.876800
    2.5119       3.4795   4.062280
    3.1623       3.4706   4.284430
    3.9811       3.4612   4.535990
