phase,msb,lsb,design,L_nH,ibias_uA,f_est_ghz,f_fft_ghz,v_swing_V,p_dc_uW
A,0,0,OLD,1.28,150.000,4.796958,4.399914,0.089871,135.000
A,8,0,OLD,1.28,270.000,3.982061,3.739926,0.202035,243.000
A,16,0,OLD,1.28,390.000,3.477951,3.319934,0.240201,351.000
A,24,0,OLD,1.28,510.000,3.126870,2.999940,0.265881,459.000
A,31,0,OLD,1.28,615.000,2.893592,2.799943,0.280424,553.500
B,31,0,OLD,1.28,615.000,2.893592,2.799943,0.280424,553.500
B,31,8,OLD,1.28,671.000,2.738132,2.659946,0.268221,603.900
B,31,16,OLD,1.28,727.000,2.605305,2.539948,0.254587,654.300
B,31,24,OLD,1.28,783.000,2.490105,2.419951,0.243003,704.700
B,31,31,OLD,1.28,832.000,2.400923,2.339952,0.233526,748.800
A,0,0,NEW,2.00,96.000,4.798702,4.219918,0.110710,86.400
A,8,0,NEW,2.00,172.800,3.983857,3.639928,0.241725,155.520
A,16,0,NEW,2.00,249.600,3.479680,3.239935,0.301210,224.640
A,24,0,NEW,2.00,326.400,3.128513,2.959940,0.340337,293.760
A,31,0,NEW,2.00,393.600,2.895162,2.759944,0.364527,354.240
B,31,0,NEW,2.00,393.600,2.895162,2.759944,0.364527,354.240
B,31,8,NEW,2.00,429.600,2.739981,2.619946,0.359277,386.640
B,31,16,NEW,2.00,465.600,2.607346,2.499949,0.352732,419.040
B,31,24,NEW,2.00,501.600,2.492278,2.399951,0.347580,451.440
B,31,31,NEW,2.00,533.100,2.403177,2.319952,0.343762,479.790
